"VECTORS","AES-EBC","AES-CBC","RSA_OAEP"
,0.0001777999999998947,7.119999999982696e-05,0.0018314000000003716
,2.95999999995189e-05,1.6300000000413206e-05,0.0016040999999997752
,2.9999999999752447e-05,1.4800000000647628e-05,0.0015593999999996555
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,2.7600000000127523e-05,1.5099999999712566e-05,0.0026521999999999935
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,3.15000000004062e-05,2.47000000008768e-05,0.0015635999999998873
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,2.9500000000126647e-05,1.5199999999992997e-05,0.001513300000000939
12fd827450693847563847acdb384756,2.5700000000128398e-05,1.5199999999992997e-05,0.001777399999999929
12fd827450693847563847acdb384756,3.030000000059374e-05,1.7099999999103943e-05,0.0015427999999992892
12fd827450693847563847acdb384756,3.300000000017178e-05,1.5799999999899228e-05,0.0016503000000014367
12fd827450693847563847acdb38475612fd827450693847563847acdb384756,2.86000000002673e-05,1.4800000000647628e-05,0.0016764999999985264
12fd827450693847563847acdb38475612fd827450693847563847acdb384756,3.030000000059374e-05,1.6699999999758575e-05,0.0016484999999999417
12fd827450693847563847acdb38475612fd827450693847563847acdb384756,2.9899999999472016e-05,1.6099999999852344e-05,0.0016519999999999868
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,2.7900000000968816e-05,1.739999999905706e-05,0.0019750999999992302
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,2.7400000000454838e-05,1.5499999999946112e-05,0.0015545000000010134
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,2.729999999928623e-05,1.6099999999852344e-05,0.0016625999999995145
