"VECTORS","SHA-1","SHA-2","SHA-3"
,6.899999999998574e-05,7.210000000001937e-05,6.649999999996936e-05
,1.669999999998062e-05,7.700000000054885e-06,7.299999999932361e-06
,1.7299999999997873e-05,7.499999999938112e-06,7.5999999999964984e-06
3847acdb384756123847acdb38475612,1.7199999999939486e-05,8.099999999955365e-06,7.699999999943863e-06
3847acdb384756123847acdb38475612,1.7700000000009375e-05,8.200000000013752e-06,7.80000000000225e-06
3847acdb384756123847acdb38475612,1.6400000000027504e-05,7.5999999999964984e-06,7.5999999999964984e-06
12823734736323642acd834753464bfedc8247563adbca834756246cbcbfeaccd34343,2.0800000000043006e-05,1.0799999999977494e-05,8.499999999966867e-06
12823734736323642acd834753464bfedc8247563adbca834756246cbcbfeaccd34343,1.999999999990898e-05,1.2499999999970868e-05,8.099999999955365e-06
12823734736323642acd834753464bfedc8247563adbca834756246cbcbfeaccd34343,1.999999999990898e-05,1.2799999999923983e-05,1.1299999999936361e-05
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,2.1199999999943486e-05,1.2100000000070388e-05,1.96000000000085e-05
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,2.049999999997887e-05,1.2600000000029254e-05,1.3499999999999623e-05
12fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb38475612fd827450693847563847acdb384756,1.96000000000085e-05,1.219999999990673e-05,1.2399999999912481e-05
